('1_2_3', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/webapp/Jsp20FacesInitializer.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('myfaces-core-project-1.1.10', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_1_6', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_1_5', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_1_4', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_1_3', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_1_2', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'e4548a7c60925c02435f467df3e79ede8bbeeb20')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'ed34f69509957b1d861957f4ffccda84bf6d28d8')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'ed34f69509957b1d861957f4ffccda84bf6d28d8')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/config/impl/FacesConfigEntityResolver.java', 'MYFACES-1982', 'ed34f69509957b1d861957f4ffccda84bf6d28d8')
