('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/WorkspaceImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/ChildNodeEntries.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/HierarchyEntryImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/operation/Remove.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/NodeEntryImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/state/TransientItemStateManager.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/UniqueIdResolver.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/ItemImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/SessionImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/LazyItemIterator.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/operation/AbstractOperation.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/query/NodeIteratorImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/HierarchyManager.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/lock/LockManagerImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/HierarchyManagerImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/ItemManager.java', 'JCR-1601', '7f4af60c8adacf2498c29b9e89eeb1b4d3cadbcb')
('2.2.5', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.2.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.2.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.2.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.2.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.1.3', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.1.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.1.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.1.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.0.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.0-beta6', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.0-beta5', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.0-beta4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.0-beta3', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.0-beta1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/security/user/ImpersonationImpl.java', 'JCR-2931', '29e7eab24aa02c42107eb6c66c33a2118ac5a9ea')
('2.3.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/version/VersionManagerImplRestore.java', 'JCR-2930', '2954cf4d363a5559c283ef058d228ff1d343c802')
('2.3.3', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/version/VersionManagerImplRestore.java', 'JCR-2930', '2954cf4d363a5559c283ef058d228ff1d343c802')
('2.3.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/version/VersionManagerImplRestore.java', 'JCR-2930', '2954cf4d363a5559c283ef058d228ff1d343c802')
('2.3.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/version/VersionManagerImplRestore.java', 'JCR-2930', '2954cf4d363a5559c283ef058d228ff1d343c802')
('2.3.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/version/VersionManagerImplRestore.java', 'JCR-2930', '2954cf4d363a5559c283ef058d228ff1d343c802')
('jackrabbit-core-1.4.6', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/config/RepositoryConfig.java', 'JCR-1841', '60bb0acbb8be013e63363271b9eee365dce602a1')
('2.2.5', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/LuceneQueryFactory.java', 'JCR-2928', 'a24cfbbc6cc2e92005c31071fe47ee25df89d150')
('2.2.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/LuceneQueryFactory.java', 'JCR-2928', 'a24cfbbc6cc2e92005c31071fe47ee25df89d150')
('2.2.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/LuceneQueryFactory.java', 'JCR-2928', 'a24cfbbc6cc2e92005c31071fe47ee25df89d150')
('2.2.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/LuceneQueryFactory.java', 'JCR-2928', 'a24cfbbc6cc2e92005c31071fe47ee25df89d150')
('1.5.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/db/DbDataStore.java', 'JCR-1838', '5d618000a21d98a547d7ae00f42a92843e2d11f0')
('1.5.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/FileDataStore.java', 'JCR-1838', '5d618000a21d98a547d7ae00f42a92843e2d11f0')
('1.0.1', 'jackrabbit/src/main/java/org/apache/jackrabbit/core/query/lucene/NodeIndexer.java', 'JCR-299', '85137463f99015b7fcf5bf1a9aa6a62c12fe8b8e')
('1.0', 'jackrabbit/src/main/java/org/apache/jackrabbit/core/query/lucene/NodeIndexer.java', 'JCR-299', '85137463f99015b7fcf5bf1a9aa6a62c12fe8b8e')
('1.0', 'contrib/bdb-persistence/src/java/org/apache/jackrabbit/core/state/bdb/BerkeleyDBPersistenceManager.java', 'JCR-298', '508b6865db43bcdaa4e529af3aff45f1e520dbca')
('2.2.4', 'jackrabbit-webdav/src/main/java/org/apache/jackrabbit/webdav/xml/DomUtil.java', 'JCR-2904', '9b747e02e62feaf6cedafa7de1db5340172f45f3')
('2.2.2', 'jackrabbit-webdav/src/main/java/org/apache/jackrabbit/webdav/xml/DomUtil.java', 'JCR-2904', '9b747e02e62feaf6cedafa7de1db5340172f45f3')
('2.2.1', 'jackrabbit-webdav/src/main/java/org/apache/jackrabbit/webdav/xml/DomUtil.java', 'JCR-2904', '9b747e02e62feaf6cedafa7de1db5340172f45f3')
('2.2.0', 'jackrabbit-webdav/src/main/java/org/apache/jackrabbit/webdav/xml/DomUtil.java', 'JCR-2904', '9b747e02e62feaf6cedafa7de1db5340172f45f3')
('2.2.4', 'jackrabbit-webdav/src/main/java/org/apache/jackrabbit/webdav/xml/DomUtil.java', 'JCR-2904', 'd1476e1398c656225660c96bd1c96fb0303f17ff')
('2.2.2', 'jackrabbit-webdav/src/main/java/org/apache/jackrabbit/webdav/xml/DomUtil.java', 'JCR-2904', 'd1476e1398c656225660c96bd1c96fb0303f17ff')
('2.2.1', 'jackrabbit-webdav/src/main/java/org/apache/jackrabbit/webdav/xml/DomUtil.java', 'JCR-2904', 'd1476e1398c656225660c96bd1c96fb0303f17ff')
('2.2.0', 'jackrabbit-webdav/src/main/java/org/apache/jackrabbit/webdav/xml/DomUtil.java', 'JCR-2904', 'd1476e1398c656225660c96bd1c96fb0303f17ff')
('2.2.4', 'jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/client/ClientSession.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/value/ValueFactoryImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.4', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractSession.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.4', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/value/AbstractValueFactory.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.4', 'jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/value/ValueFactoryQImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.4', 'jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/client/ClientWorkspace.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.4', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractWorkspace.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.4', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/SessionImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.4', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/WorkspaceImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/client/ClientSession.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/value/ValueFactoryImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractSession.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/value/AbstractValueFactory.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/value/ValueFactoryQImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/client/ClientWorkspace.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractWorkspace.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/SessionImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.2', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/WorkspaceImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/client/ClientSession.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/value/ValueFactoryImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractSession.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/value/AbstractValueFactory.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/value/ValueFactoryQImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/client/ClientWorkspace.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractWorkspace.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/SessionImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.1', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/WorkspaceImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.0', 'jackrabbit-jcr-rmi/src/main/java/org/apache/jackrabbit/rmi/client/ClientSession.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/value/ValueFactoryImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.0', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractSession.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.0', 'jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/value/AbstractValueFactory.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
('2.2.0', 'jackrabbit-spi-commons/src/main/java/org/apache/jackrabbit/spi/commons/value/ValueFactoryQImpl.java', 'JCR-2903', '07cf67e79faa7c9fcfff0093befb642c7c2f404b')
